id_offre;date_publication;mois_publication;intitule_poste;secteur_activite;region;ville;type_contrat;niveau_experience;salaire_min_eur;salaire_max_eur;salaire_moyen_eur;teletravail;competence_1;competence_2;competence_3;competence_4;competence_5;delai_pourvoi_jours
OFR-2025130;2025-12-13;2025-12;Data Engineer;Santé;PACA;Marseille;CDI;Senior (5+ ans);61000;92000;76500;Hybride;Airflow;Python;Spark;;;57
OFR-2025131;2026-04-30;2026-04;Data Scientist;Industrie;Normandie;Caen;CDI;Confirmé (3-5 ans);44000;61000;52500;Sur site;SQL;Machine Learning;Power BI;Python;Pandas;49
OFR-2025132;2025-10-16;2025-10;Data Analyst;Télécoms;Nouvelle-Aquitaine;Poitiers;CDI;Senior (5+ ans);59000;88000;73500;Hybride;SQL;DAX;Tableau;;;61
OFR-2025133;2025-08-07;2025-08;Data Engineer;Transport / Logistique;Nouvelle-Aquitaine;Bordeaux;Stage;Confirmé (3-5 ans);1110;1333;1222;Hybride;Docker;Cloud (AWS/Azure/GCP);ETL;;;56
OFR-2025134;2025-09-05;2025-09;Data Analyst;Transport / Logistique;Pays de la Loire;Angers;CDI;Confirmé (3-5 ans);45500;63000;54250;Full remote;Power Query;DAX;Excel;Tableau;;60
OFR-2025135;2026-01-13;2026-01;Data Scientist;Conseil / ESN;Occitanie;Montpellier;CDI;Junior (0-2 ans);35000;47000;41000;Hybride;Machine Learning;Python;Deep Learning;;;51
OFR-2025136;2025-12-05;2025-12;Data Scientist;Retail / E-commerce;Centre-Val de Loire;Tours;Stage;Confirmé (3-5 ans);990;1285;1138;Hybride;Scikit-learn;Pandas;Power BI;;;43
OFR-2025137;2026-05-31;2026-05;Data Analyst;Conseil / ESN;Normandie;Caen;CDI;Junior (0-2 ans);33000;44000;38500;Full remote;Excel;Python;Tableau;;;55
OFR-2025138;2026-04-18;2026-04;Data Engineer;Santé;Occitanie;Toulouse;CDI;Junior (0-2 ans);35000;47000;41000;Hybride;Docker;ETL;Spark;SQL;;47
OFR-2025139;2025-08-19;2025-08;Data Analyst;Santé;Occitanie;Toulouse;CDI;Senior (5+ ans);60000;90000;75000;Hybride;Power Query;Tableau;DAX;SQL;;37
OFR-2025140;2026-02-28;2026-02;Data Scientist;Tech / Scale-up;Centre-Val de Loire;Orléans;CDI;Confirmé (3-5 ans);43500;60500;52000;Hybride;Python;Power BI;Deep Learning;Machine Learning;SQL;45
OFR-2025141;2026-03-30;2026-03;Data Engineer;Retail / E-commerce;Nouvelle-Aquitaine;Bordeaux;Stage;Junior (0-2 ans);1200;1457;1328;Sur site;Docker;Spark;Airflow;Cloud (AWS/Azure/GCP);ETL;43
OFR-2025142;2026-06-01;2026-06;ML Engineer;Retail / E-commerce;Île-de-France;Paris;CDI;Junior (0-2 ans);41500;55500;48500;Hybride;TensorFlow/PyTorch;Docker;Python;Git/CI-CD;;62
OFR-2025143;2026-01-31;2026-01;Chef de Projet Data/IA;Banque / Assurance;Occitanie;Toulouse;Alternance;Junior (0-2 ans);1190;1327;1258;Hybride;Power BI;Gestion de projet;Python;Agile/Scrum;SQL;21
OFR-2025144;2026-03-30;2026-03;Data Scientist;Banque / Assurance;Île-de-France;Nanterre;Alternance;Confirmé (3-5 ans);1370;1553;1462;Hybride;Scikit-learn;Pandas;Power BI;SQL;Python;33
OFR-2025145;2026-06-26;2026-06;Data Engineer;Télécoms;Hauts-de-France;Amiens;CDI;Senior (5+ ans);57000;85500;71250;Sur site;Airflow;Spark;Python;Cloud (AWS/Azure/GCP);;25
OFR-2025146;2026-01-19;2026-01;ML Engineer;Retail / E-commerce;Pays de la Loire;Angers;Alternance;Senior (5+ ans);1080;1253;1166;Full remote;TensorFlow/PyTorch;Git/CI-CD;Cloud (AWS/Azure/GCP);;;64
OFR-2025147;2025-10-18;2025-10;Data Scientist;Énergie;PACA;Marseille;CDI;Senior (5+ ans);61000;92000;76500;Sur site;SQL;Scikit-learn;Power BI;;;24
OFR-2025148;2025-07-27;2025-07;BI Analyst / Développeur Power BI;Tech / Scale-up;Île-de-France;Saint-Denis;CDI;Confirmé (3-5 ans);55500;76500;66000;Sur site;DAX;Power BI;Excel;;;18
OFR-2025149;2025-10-11;2025-10;Data Scientist;Tech / Scale-up;Hauts-de-France;Lille;CDI;Confirmé (3-5 ans);44500;62000;53250;Hybride;Scikit-learn;Deep Learning;Power BI;;;60
OFR-2025150;2025-07-19;2025-07;Chef de Projet Data/IA;Banque / Assurance;Auvergne-Rhône-Alpes;Annecy;Stage;Junior (0-2 ans);1390;1549;1470;Full remote;KPI;Gestion de projet;Power BI;Agile/Scrum;Python;65
OFR-2025151;2026-04-05;2026-04;Data Scientist;Énergie;Pays de la Loire;Le Mans;Stage;Junior (0-2 ans);1380;1634;1507;Full remote;SQL;Power BI;Scikit-learn;;;45
OFR-2025152;2025-07-08;2025-07;Data Engineer;Énergie;Normandie;Caen;CDI;Junior (0-2 ans);33000;44000;38500;Sur site;Cloud (AWS/Azure/GCP);ETL;Spark;;;59
OFR-2025153;2026-03-02;2026-03;Data Scientist;Tech / Scale-up;Île-de-France;Boulogne-Billancourt;Alternance;Confirmé (3-5 ans);1220;1429;1324;Full remote;SQL;Python;Scikit-learn;Deep Learning;Pandas;32
OFR-2025154;2026-06-20;2026-06;Chef de Projet Data/IA;Conseil / ESN;Île-de-France;Nanterre;CDI;Junior (0-2 ans);41500;55500;48500;Sur site;SQL;Python;Gestion de projet;Power BI;;27
OFR-2025155;2025-10-21;2025-10;Data Analyst;Tech / Scale-up;Île-de-France;Saint-Denis;CDI;Confirmé (3-5 ans);55500;76500;66000;Sur site;Power Query;Excel;SQL;DAX;Power BI;20
OFR-2025156;2026-05-02;2026-05;Data Engineer;Retail / E-commerce;Pays de la Loire;Le Mans;CDI;Confirmé (3-5 ans);45500;63000;54250;Sur site;Docker;Airflow;Python;Cloud (AWS/Azure/GCP);;62
OFR-2025157;2026-04-01;2026-04;Data Analyst;Retail / E-commerce;Pays de la Loire;Le Mans;CDI;Confirmé (3-5 ans);45500;63000;54250;Hybride;Power Query;Tableau;DAX;;;21
OFR-2025158;2026-04-15;2026-04;Data Analyst;Industrie;Grand Est;Reims;Alternance;Confirmé (3-5 ans);1300;1423;1362;Hybride;Python;SQL;Power Query;Power BI;Excel;15
OFR-2025159;2025-08-02;2025-08;Data Engineer;Banque / Assurance;Hauts-de-France;Amiens;CDI;Senior (5+ ans);57000;85500;71250;Hybride;Python;Airflow;SQL;Cloud (AWS/Azure/GCP);Docker;46
OFR-2025160;2026-01-12;2026-01;Chef de Projet Data/IA;Transport / Logistique;Normandie;Rouen;CDI;Confirmé (3-5 ans);44000;61000;52500;Full remote;KPI;Agile/Scrum;SQL;;;40
OFR-2025161;2025-10-23;2025-10;BI Analyst / Développeur Power BI;Industrie;Bretagne;Brest;Alternance;Confirmé (3-5 ans);1350;1484;1417;Hybride;Power Query;Power BI;DAX;Excel;SQL;65
OFR-2025162;2025-10-05;2025-10;Data Analyst;Transport / Logistique;Île-de-France;Saint-Denis;Alternance;Confirmé (3-5 ans);1340;1537;1438;Hybride;Power BI;Python;Excel;;;58
OFR-2025163;2026-05-03;2026-05;AI Engineer;Télécoms;Île-de-France;Nanterre;Alternance;Senior (5+ ans);820;981;900;Hybride;Python;Cloud (AWS/Azure/GCP);Hugging Face;;;55
OFR-2025164;2026-04-21;2026-04;ML Engineer;Santé;Île-de-France;Paris;CDI;Confirmé (3-5 ans);55500;76500;66000;Hybride;MLOps;TensorFlow/PyTorch;Docker;;;32
OFR-2025165;2026-04-29;2026-04;Data Engineer;Conseil / ESN;PACA;Nice;CDI;Junior (0-2 ans);35500;48000;41750;Hybride;Airflow;Python;ETL;Spark;Cloud (AWS/Azure/GCP);59
OFR-2025166;2025-12-01;2025-12;BI Analyst / Développeur Power BI;Secteur public;Nouvelle-Aquitaine;Poitiers;CDI;Senior (5+ ans);59000;88000;73500;Hybride;Excel;SQL;Power Query;KPI;DAX;36
OFR-2025167;2025-09-07;2025-09;Data Analyst;Conseil / ESN;Occitanie;Toulouse;CDI;Confirmé (3-5 ans);47000;65000;56000;Sur site;SQL;Tableau;Python;DAX;;36
OFR-2025168;2026-05-05;2026-05;Data Scientist;Transport / Logistique;Île-de-France;Paris;CDD;Junior (0-2 ans);41500;55500;48500;Sur site;Power BI;Machine Learning;Python;SQL;Deep Learning;14
OFR-2025169;2026-03-03;2026-03;BI Analyst / Développeur Power BI;Transport / Logistique;Île-de-France;Boulogne-Billancourt;CDI;Senior (5+ ans);71000;106000;88500;Hybride;Power BI;DAX;KPI;Power Query;;27
OFR-2025170;2026-03-12;2026-03;ML Engineer;Conseil / ESN;Hauts-de-France;Amiens;Alternance;Senior (5+ ans);1190;1409;1300;Hybride;Git/CI-CD;Docker;TensorFlow/PyTorch;MLOps;Cloud (AWS/Azure/GCP);41
OFR-2025171;2026-04-26;2026-04;Data Analyst;Retail / E-commerce;Centre-Val de Loire;Orléans;Stage;Junior (0-2 ans);1220;1331;1276;Sur site;Power Query;Power BI;DAX;SQL;Tableau;49
OFR-2025172;2026-03-08;2026-03;AI Engineer;Retail / E-commerce;Île-de-France;Boulogne-Billancourt;CDI;Confirmé (3-5 ans);55500;76500;66000;Hybride;NLP;Hugging Face;LangChain;;;58
OFR-2025173;2025-08-08;2025-08;ML Engineer;Retail / E-commerce;Pays de la Loire;Nantes;CDI;Confirmé (3-5 ans);45500;63000;54250;Hybride;MLOps;TensorFlow/PyTorch;Python;Docker;;64
OFR-2025174;2026-05-13;2026-05;ML Engineer;Tech / Scale-up;PACA;Nice;CDD;Junior (0-2 ans);35500;48000;41750;Hybride;MLOps;Python;Git/CI-CD;Docker;Cloud (AWS/Azure/GCP);52
OFR-2025175;2025-07-09;2025-07;ML Engineer;Transport / Logistique;Nouvelle-Aquitaine;Poitiers;CDI;Confirmé (3-5 ans);46000;63500;54750;Full remote;Python;Git/CI-CD;Docker;Cloud (AWS/Azure/GCP);;44
OFR-2025176;2026-01-24;2026-01;BI Analyst / Développeur Power BI;Industrie;Hauts-de-France;Lille;Stage;Confirmé (3-5 ans);1050;1199;1124;Hybride;KPI;Power Query;Excel;DAX;SQL;41
OFR-2025177;2025-07-05;2025-07;Data Engineer;Énergie;Centre-Val de Loire;Tours;Alternance;Senior (5+ ans);830;953;892;Hybride;ETL;Docker;Airflow;Cloud (AWS/Azure/GCP);;56
OFR-2025178;2025-07-24;2025-07;Data Analyst;Retail / E-commerce;Pays de la Loire;Angers;Alternance;Senior (5+ ans);900;1135;1018;Hybride;Power BI;Power Query;Tableau;;;16
OFR-2025179;2026-04-15;2026-04;ML Engineer;Tech / Scale-up;Île-de-France;Paris;Stage;Junior (0-2 ans);1010;1260;1135;Hybride;Git/CI-CD;Cloud (AWS/Azure/GCP);Python;;;27
OFR-2025180;2025-12-25;2025-12;Data Engineer;Secteur public;Grand Est;Nancy;CDI;Confirmé (3-5 ans);45000;62500;53750;Hybride;Docker;Cloud (AWS/Azure/GCP);SQL;;;15
OFR-2025181;2025-12-30;2025-12;Data Analyst;Retail / E-commerce;Île-de-France;Paris;Alternance;Confirmé (3-5 ans);1210;1508;1359;Hybride;SQL;DAX;Excel;Python;;47
OFR-2025182;2026-05-21;2026-05;Chef de Projet Data/IA;Télécoms;Pays de la Loire;Le Mans;Alternance;Junior (0-2 ans);1100;1263;1182;Sur site;Gestion de projet;KPI;SQL;Python;Power BI;21
OFR-2025183;2026-02-06;2026-02;AI Engineer;Industrie;Auvergne-Rhône-Alpes;Lyon;CDI;Junior (0-2 ans);36500;49000;42750;Hybride;Cloud (AWS/Azure/GCP);LangChain;Python;LLM;;40
OFR-2025184;2025-08-13;2025-08;Data Engineer;Banque / Assurance;Occitanie;Toulouse;CDI;Confirmé (3-5 ans);47000;65000;56000;Hybride;Airflow;Spark;ETL;SQL;Python;58
OFR-2025185;2025-09-13;2025-09;BI Analyst / Développeur Power BI;Télécoms;Bretagne;Rennes;CDI;Confirmé (3-5 ans);45000;62500;53750;Hybride;DAX;Power Query;KPI;;;16
OFR-2025186;2025-10-09;2025-10;Data Analyst;Transport / Logistique;Île-de-France;Saint-Denis;CDD;Junior (0-2 ans);41500;55500;48500;Sur site;DAX;Power Query;Python;;;41
OFR-2025187;2026-05-05;2026-05;Data Analyst;Retail / E-commerce;Île-de-France;Nanterre;CDD;Junior (0-2 ans);41500;55500;48500;Hybride;Python;Excel;Power Query;Power BI;;56
OFR-2025188;2026-01-18;2026-01;Data Analyst;Retail / E-commerce;Auvergne-Rhône-Alpes;Grenoble;CDI;Confirmé (3-5 ans);49000;67500;58250;Hybride;Tableau;Power BI;Excel;Python;;35
OFR-2025189;2025-09-10;2025-09;Data Analyst;Secteur public;Occitanie;Toulouse;CDI;Confirmé (3-5 ans);47000;65000;56000;Sur site;Power BI;Python;Excel;SQL;Power Query;52
OFR-2025190;2026-01-01;2026-01;Data Scientist;Santé;Île-de-France;Boulogne-Billancourt;CDD;Junior (0-2 ans);41500;55500;48500;Hybride;Scikit-learn;Pandas;Power BI;Deep Learning;SQL;56
OFR-2025191;2025-08-20;2025-08;BI Analyst / Développeur Power BI;Industrie;Occitanie;Toulouse;Alternance;Confirmé (3-5 ans);1160;1302;1231;Hybride;KPI;Power BI;SQL;DAX;Power Query;28
OFR-2025192;2025-07-13;2025-07;Data Scientist;Télécoms;PACA;Aix-en-Provence;Alternance;Junior (0-2 ans);1180;1380;1280;Hybride;Power BI;Deep Learning;Pandas;Machine Learning;;42
OFR-2025193;2025-12-26;2025-12;Data Analyst;Industrie;Auvergne-Rhône-Alpes;Lyon;CDD;Confirmé (3-5 ans);49000;67500;58250;Hybride;Excel;Power Query;Python;Power BI;;42
OFR-2025194;2025-11-02;2025-11;Data Analyst;Retail / E-commerce;Hauts-de-France;Amiens;CDI;Junior (0-2 ans);33000;44500;38750;Sur site;SQL;Power Query;Excel;DAX;Tableau;45
OFR-2025195;2026-05-11;2026-05;Data Analyst;Transport / Logistique;Île-de-France;Nanterre;CDI;Confirmé (3-5 ans);55500;76500;66000;Hybride;Power BI;DAX;Python;;;24
OFR-2025196;2025-12-14;2025-12;Data Engineer;Conseil / ESN;Pays de la Loire;Nantes;CDI;Confirmé (3-5 ans);45500;63000;54250;Hybride;Airflow;SQL;Docker;;;24
OFR-2025197;2026-02-20;2026-02;Data Engineer;Secteur public;Île-de-France;Nanterre;Freelance;Junior (0-2 ans);41500;55500;48500;Hybride;Airflow;ETL;Docker;SQL;;51
OFR-2025198;2025-09-11;2025-09;Data Analyst;Télécoms;Hauts-de-France;Amiens;Alternance;Confirmé (3-5 ans);1120;1250;1185;Hybride;Excel;SQL;Power BI;;;44
OFR-2025199;2025-10-04;2025-10;Data Scientist;Santé;Nouvelle-Aquitaine;Poitiers;CDI;Confirmé (3-5 ans);46000;63500;54750;Hybride;Deep Learning;Machine Learning;Pandas;Power BI;Scikit-learn;32
OFR-2025200;2026-01-29;2026-01;BI Analyst / Développeur Power BI;Banque / Assurance;Nouvelle-Aquitaine;Poitiers;CDI;Junior (0-2 ans);34500;46000;40250;Sur site;KPI;Excel;SQL;DAX;;57
OFR-2025201;2026-02-20;2026-02;BI Analyst / Développeur Power BI;Télécoms;Pays de la Loire;Nantes;CDI;Senior (5+ ans);58000;87500;72750;Hybride;Power BI;Power Query;DAX;KPI;;48
OFR-2025202;2025-10-20;2025-10;AI Engineer;Secteur public;PACA;Aix-en-Provence;CDI;Junior (0-2 ans);35500;48000;41750;Hybride;Cloud (AWS/Azure/GCP);LangChain;Hugging Face;Python;RAG;39
OFR-2025203;2026-04-28;2026-04;Data Analyst;Énergie;Grand Est;Strasbourg;Stage;Junior (0-2 ans);1070;1259;1164;Hybride;Python;SQL;Power BI;;;56
OFR-2025204;2025-11-27;2025-11;Data Scientist;Tech / Scale-up;Hauts-de-France;Amiens;Alternance;Senior (5+ ans);1010;1125;1068;Full remote;SQL;Pandas;Power BI;Machine Learning;Scikit-learn;30
OFR-2025205;2025-09-06;2025-09;Data Engineer;Tech / Scale-up;Normandie;Rouen;Freelance;Senior (5+ ans);56500;84500;70500;Sur site;Spark;Cloud (AWS/Azure/GCP);Python;;;27
OFR-2025206;2025-08-17;2025-08;Data Analyst;Santé;Auvergne-Rhône-Alpes;Lyon;CDI;Confirmé (3-5 ans);49000;67500;58250;Hybride;DAX;Python;Power Query;Tableau;;37
OFR-2025207;2026-02-20;2026-02;Data Engineer;Transport / Logistique;Île-de-France;Saint-Denis;Freelance;Junior (0-2 ans);41500;55500;48500;Sur site;Docker;Cloud (AWS/Azure/GCP);SQL;;;52
OFR-2025208;2025-12-20;2025-12;ML Engineer;Secteur public;Auvergne-Rhône-Alpes;Lyon;CDI;Senior (5+ ans);62500;93500;78000;Sur site;Cloud (AWS/Azure/GCP);Docker;TensorFlow/PyTorch;;;47
OFR-2025209;2025-07-01;2025-07;Data Engineer;Retail / E-commerce;Occitanie;Montpellier;Stage;Senior (5+ ans);850;975;912;Hybride;Docker;ETL;SQL;Airflow;Cloud (AWS/Azure/GCP);39
OFR-2025210;2026-06-06;2026-06;Data Analyst;Énergie;Hauts-de-France;Lille;CDI;Senior (5+ ans);57000;85500;71250;Hybride;SQL;DAX;Excel;Tableau;;53
OFR-2025211;2026-04-30;2026-04;Data Analyst;Conseil / ESN;Auvergne-Rhône-Alpes;Grenoble;CDI;Junior (0-2 ans);36500;49000;42750;Hybride;SQL;Power BI;Python;;;26
OFR-2025212;2025-08-15;2025-08;Data Engineer;Retail / E-commerce;Pays de la Loire;Nantes;CDD;Senior (5+ ans);58000;87500;72750;Hybride;Cloud (AWS/Azure/GCP);Python;ETL;SQL;;58
OFR-2025213;2025-07-05;2025-07;BI Analyst / Développeur Power BI;Énergie;Île-de-France;Saint-Denis;CDI;Senior (5+ ans);71000;106000;88500;Hybride;Excel;DAX;Power BI;;;51
OFR-2025214;2026-04-28;2026-04;ML Engineer;Conseil / ESN;Pays de la Loire;Le Mans;Alternance;Junior (0-2 ans);1220;1477;1348;Sur site;Cloud (AWS/Azure/GCP);MLOps;Python;Git/CI-CD;Docker;58
OFR-2025215;2025-11-23;2025-11;Data Scientist;Tech / Scale-up;Centre-Val de Loire;Orléans;CDI;Confirmé (3-5 ans);43500;60500;52000;Sur site;Pandas;Power BI;Deep Learning;;;61
OFR-2025216;2025-11-01;2025-11;Chef de Projet Data/IA;Conseil / ESN;Île-de-France;Saint-Denis;CDI;Confirmé (3-5 ans);55500;76500;66000;Hybride;Agile/Scrum;SQL;Gestion de projet;KPI;Power BI;43
OFR-2025217;2025-08-04;2025-08;ML Engineer;Retail / E-commerce;Île-de-France;Paris;Stage;Junior (0-2 ans);1380;1587;1484;Hybride;TensorFlow/PyTorch;MLOps;Cloud (AWS/Azure/GCP);Python;;12
OFR-2025218;2026-04-02;2026-04;Data Scientist;Santé;Île-de-France;Paris;CDI;Confirmé (3-5 ans);55500;76500;66000;Sur site;Power BI;Scikit-learn;Deep Learning;Pandas;Python;51
OFR-2025219;2025-10-31;2025-10;Data Analyst;Secteur public;Île-de-France;Paris;Stage;Senior (5+ ans);960;1197;1078;Sur site;Python;Tableau;SQL;Excel;;15
OFR-2025220;2025-12-25;2025-12;Data Scientist;Transport / Logistique;Normandie;Rouen;Alternance;Junior (0-2 ans);980;1110;1045;Hybride;Deep Learning;Machine Learning;Python;;;45
OFR-2025221;2025-11-17;2025-11;Data Engineer;Tech / Scale-up;Grand Est;Reims;CDI;Confirmé (3-5 ans);45000;62500;53750;Sur site;Cloud (AWS/Azure/GCP);SQL;Docker;Spark;;45
OFR-2025222;2025-08-22;2025-08;Data Analyst;Transport / Logistique;Hauts-de-France;Lille;CDI;Junior (0-2 ans);33000;44500;38750;Hybride;Power Query;Tableau;Power BI;Excel;;48
OFR-2025223;2025-09-30;2025-09;ML Engineer;Banque / Assurance;Île-de-France;Paris;CDD;Junior (0-2 ans);41500;55500;48500;Full remote;Cloud (AWS/Azure/GCP);Docker;Git/CI-CD;;;14
OFR-2025224;2025-07-27;2025-07;Data Engineer;Conseil / ESN;Normandie;Caen;CDI;Confirmé (3-5 ans);44000;61000;52500;Hybride;Spark;Docker;SQL;Cloud (AWS/Azure/GCP);Airflow;23
OFR-2025225;2025-07-05;2025-07;Data Scientist;Santé;Occitanie;Toulouse;CDI;Confirmé (3-5 ans);47000;65000;56000;Sur site;Power BI;SQL;Deep Learning;Python;;35
OFR-2025226;2026-01-26;2026-01;Data Analyst;Télécoms;Occitanie;Montpellier;CDI;Junior (0-2 ans);35000;47000;41000;Hybride;Power Query;Power BI;Tableau;DAX;;13
OFR-2025227;2025-10-30;2025-10;Data Scientist;Banque / Assurance;Auvergne-Rhône-Alpes;Annecy;Freelance;Junior (0-2 ans);36500;49000;42750;Hybride;Scikit-learn;Deep Learning;SQL;Python;Power BI;38
OFR-2025228;2025-08-18;2025-08;Data Engineer;Énergie;Île-de-France;Boulogne-Billancourt;CDI;Senior (5+ ans);71000;106000;88500;Hybride;ETL;Cloud (AWS/Azure/GCP);Spark;Docker;Airflow;44
OFR-2025229;2025-11-17;2025-11;Data Analyst;Télécoms;Grand Est;Strasbourg;Alternance;Confirmé (3-5 ans);930;1090;1010;Hybride;Excel;Power Query;Python;DAX;;26
OFR-2025230;2025-10-15;2025-10;Data Analyst;Tech / Scale-up;Île-de-France;Paris;CDI;Confirmé (3-5 ans);55500;76500;66000;Full remote;Python;SQL;Tableau;Excel;;40
OFR-2025231;2025-11-05;2025-11;Data Scientist;Industrie;Île-de-France;Paris;CDI;Confirmé (3-5 ans);55500;76500;66000;Hybride;Deep Learning;Pandas;Python;Machine Learning;Scikit-learn;34
OFR-2025232;2025-08-22;2025-08;Data Scientist;Énergie;Île-de-France;Saint-Denis;CDD;Junior (0-2 ans);41500;55500;48500;Hybride;Power BI;Scikit-learn;Pandas;Machine Learning;;63
OFR-2025233;2025-08-08;2025-08;AI Engineer;Conseil / ESN;Île-de-France;Paris;CDI;Senior (5+ ans);71000;106000;88500;Full remote;RAG;Cloud (AWS/Azure/GCP);Python;LangChain;;13
OFR-2025234;2026-04-20;2026-04;Chef de Projet Data/IA;Tech / Scale-up;Île-de-France;Nanterre;CDI;Senior (5+ ans);71000;106000;88500;Hybride;Gestion de projet;KPI;Agile/Scrum;Python;;39
OFR-2025235;2026-05-12;2026-05;BI Analyst / Développeur Power BI;Santé;Auvergne-Rhône-Alpes;Lyon;Alternance;Junior (0-2 ans);1020;1167;1094;Sur site;Power Query;SQL;DAX;Power BI;;27
OFR-2025236;2026-04-05;2026-04;ML Engineer;Transport / Logistique;Pays de la Loire;Le Mans;CDI;Junior (0-2 ans);34000;45500;39750;Sur site;Cloud (AWS/Azure/GCP);MLOps;TensorFlow/PyTorch;;;62
OFR-2025237;2025-07-14;2025-07;Data Analyst;Retail / E-commerce;Auvergne-Rhône-Alpes;Annecy;CDI;Senior (5+ ans);62500;93500;78000;Hybride;Tableau;Power Query;Excel;Python;;32
OFR-2025238;2026-06-02;2026-06;Data Engineer;Banque / Assurance;Île-de-France;Saint-Denis;CDD;Confirmé (3-5 ans);55500;76500;66000;Hybride;Docker;Airflow;Python;Cloud (AWS/Azure/GCP);;27
OFR-2025239;2026-06-23;2026-06;Data Scientist;Banque / Assurance;Grand Est;Nancy;Alternance;Senior (5+ ans);1390;1589;1490;Sur site;Power BI;Machine Learning;Deep Learning;Pandas;;34
OFR-2025240;2026-05-05;2026-05;BI Analyst / Développeur Power BI;Télécoms;Île-de-France;Saint-Denis;Alternance;Confirmé (3-5 ans);990;1216;1103;Hybride;Power Query;DAX;SQL;Power BI;Excel;26
OFR-2025241;2025-09-11;2025-09;Data Analyst;Télécoms;Pays de la Loire;Angers;CDI;Junior (0-2 ans);34000;45500;39750;Sur site;Power BI;Excel;SQL;Tableau;Python;61
OFR-2025242;2025-09-19;2025-09;Data Analyst;Industrie;Occitanie;Montpellier;CDI;Senior (5+ ans);60000;90000;75000;Hybride;Tableau;SQL;Excel;Power Query;;58
OFR-2025243;2026-06-18;2026-06;Chef de Projet Data/IA;Retail / E-commerce;PACA;Nice;CDI;Senior (5+ ans);61000;92000;76500;Hybride;Python;SQL;Power BI;KPI;Gestion de projet;30
OFR-2025244;2026-04-16;2026-04;Data Analyst;Télécoms;PACA;Aix-en-Provence;CDI;Senior (5+ ans);61000;92000;76500;Hybride;SQL;Power BI;Tableau;Excel;Python;18
OFR-2025245;2026-06-20;2026-06;Chef de Projet Data/IA;Conseil / ESN;Île-de-France;Paris;CDI;Junior (0-2 ans);41500;55500;48500;Hybride;Gestion de projet;SQL;Agile/Scrum;KPI;Power BI;16
OFR-2025246;2026-01-09;2026-01;Data Scientist;Banque / Assurance;PACA;Aix-en-Provence;CDI;Confirmé (3-5 ans);48000;66500;57250;Hybride;Machine Learning;Scikit-learn;Deep Learning;Pandas;;18
OFR-2025247;2025-08-23;2025-08;BI Analyst / Développeur Power BI;Conseil / ESN;PACA;Aix-en-Provence;CDI;Junior (0-2 ans);35500;48000;41750;Hybride;Power Query;Power BI;Excel;;;16
OFR-2025248;2026-06-26;2026-06;Data Scientist;Industrie;Bretagne;Rennes;CDI;Senior (5+ ans);57500;86500;72000;Full remote;SQL;Pandas;Deep Learning;;;13
OFR-2025249;2026-04-03;2026-04;Data Engineer;Tech / Scale-up;Nouvelle-Aquitaine;Poitiers;CDI;Junior (0-2 ans);34500;46000;40250;Sur site;ETL;Cloud (AWS/Azure/GCP);Airflow;;;28
OFR-2025250;2025-11-28;2025-11;ML Engineer;Banque / Assurance;Île-de-France;Paris;CDI;Confirmé (3-5 ans);55500;76500;66000;Hybride;MLOps;Python;Docker;TensorFlow/PyTorch;;64
OFR-2025251;2026-02-27;2026-02;ML Engineer;Industrie;Nouvelle-Aquitaine;Bordeaux;CDI;Junior (0-2 ans);34500;46000;40250;Sur site;Python;Cloud (AWS/Azure/GCP);Git/CI-CD;MLOps;;43
OFR-2025252;2025-11-12;2025-11;BI Analyst / Développeur Power BI;Tech / Scale-up;Île-de-France;Nanterre;CDI;Confirmé (3-5 ans);55500;76500;66000;Hybride;SQL;Power BI;Power Query;;;26
OFR-2025253;2026-03-25;2026-03;BI Analyst / Développeur Power BI;Industrie;Occitanie;Toulouse;CDI;Junior (0-2 ans);35000;47000;41000;Sur site;SQL;KPI;DAX;Power Query;Power BI;38
OFR-2025254;2025-09-24;2025-09;Chef de Projet Data/IA;Télécoms;Hauts-de-France;Amiens;Stage;Confirmé (3-5 ans);880;1081;980;Hybride;Gestion de projet;Python;Power BI;KPI;Agile/Scrum;25
OFR-2025255;2026-04-11;2026-04;BI Analyst / Développeur Power BI;Industrie;Île-de-France;Nanterre;Freelance;Confirmé (3-5 ans);55500;76500;66000;Hybride;DAX;KPI;Power Query;Excel;Power BI;37
OFR-2025256;2026-04-28;2026-04;Data Engineer;Banque / Assurance;Bretagne;Brest;CDD;Confirmé (3-5 ans);45000;62500;53750;Hybride;Docker;ETL;SQL;Cloud (AWS/Azure/GCP);Airflow;49
OFR-2025257;2026-05-08;2026-05;AI Engineer;Télécoms;Normandie;Rouen;CDD;Senior (5+ ans);56500;84500;70500;Hybride;LangChain;NLP;Cloud (AWS/Azure/GCP);RAG;Hugging Face;42
OFR-2025258;2026-01-07;2026-01;Data Analyst;Télécoms;Île-de-France;Boulogne-Billancourt;Alternance;Confirmé (3-5 ans);840;1041;940;Full remote;DAX;Power BI;SQL;Python;;13
OFR-2025259;2025-12-12;2025-12;Data Scientist;Énergie;PACA;Nice;CDD;Senior (5+ ans);61000;92000;76500;Hybride;Python;Machine Learning;Deep Learning;SQL;Scikit-learn;29
OFR-2025260;2026-03-21;2026-03;AI Engineer;Conseil / ESN;Nouvelle-Aquitaine;Bordeaux;CDI;Senior (5+ ans);59000;88000;73500;Sur site;RAG;NLP;Hugging Face;LangChain;;62
